,Position,Track Name,Artist,Streams,URL,date
137,138,Save That Shit,Lil Peep,1483183,https://open.spotify.com/track/6sn8WaooLLVhQvU96wtEAm,2017-11-26
138,139,Mistletoe,Justin Bieber,1482429,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,2017-11-26
139,140,Patek Water,Future,1479260,https://open.spotify.com/track/7r6LNJT2LqpLpEyZQJPygt,2017-11-26
140,141,Lemon,N.E.R.D,1470775,https://open.spotify.com/track/6tUgfsOa8PLkoede5nOR7D,2017-11-26
141,142,Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,1470062,https://open.spotify.com/track/5uu28fUesZMl89lf9CLrgN,2017-11-26
142,143,No Option,Post Malone,1464575,https://open.spotify.com/track/6M0IsaUX4GNyto4niSegfI,2017-11-26
143,144,New,Daya,1455893,https://open.spotify.com/track/7y4JznkAv2W3IKw9T1o2VK,2017-11-26
144,145,Boss,Lil Pump,1447496,https://open.spotify.com/track/1rsAFUCa6BVMgRQ3FCQQsi,2017-11-26
145,146,First Day Out,Tee Grizzley,1428466,https://open.spotify.com/track/3muBQDekYAg7jm6hDu6R0Z,2017-11-26
146,147,Santa Tell Me,Ariana Grande,1424484,https://open.spotify.com/track/1ADjWm8QNhgNV8yCNNgQ1T,2017-11-26
147,148,There's Nothing Holdin' Me Back,Shawn Mendes,1422518,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,2017-11-26
148,149,Naked,James Arthur,1420804,https://open.spotify.com/track/7krbSH3rd8lhIZvuzTV3Bl,2017-11-26
149,150,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1414072,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,2017-11-26
150,151,Run Rudolph Run - Single Version,Chuck Berry,1413625,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,2017-11-26
151,152,Starboy,The Weeknd,1412018,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-11-26
152,153,Myself,NAV,1407048,https://open.spotify.com/track/05nbZ1xxVNwUTcGwLbp7CN,2017-11-26
153,154,4 AM,2 Chainz,1405050,https://open.spotify.com/track/1nX9KhK3Fff27SnrIor2Yb,2017-11-26
154,155,Swang,Rae Sremmurd,1397123,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL,2017-11-26
155,156,Pull Up N Wreck (With Metro Boomin),Big Sean,1396751,https://open.spotify.com/track/0Gux2yTMWYOlcBUNjGJu5p,2017-11-26
156,157,Perplexing Pegasus,Rae Sremmurd,1395238,https://open.spotify.com/track/2nYwV62UABTH0NanrwVIdQ,2017-11-26
157,158,When It Rains It Pours,Luke Combs,1391396,https://open.spotify.com/track/1mMLMZYXkMueg65jRRWG1l,2017-11-26
158,159,Ex Calling,6LACK,1385860,https://open.spotify.com/track/1MQ8ydvrTnn2QJgXFATJvD,2017-11-26
159,160,My Choppa Hate Niggas,21 Savage,1382817,https://open.spotify.com/track/2D2w9943rsnJOGCrI4aMQp,2017-11-26
160,161,Se Preparó,Ozuna,1380716,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt,2017-11-26
161,162,do re mi (feat. Gucci Mane),blackbear,1380526,https://open.spotify.com/track/53mrVsi49rLHIaKBiSvElG,2017-11-26
162,163,Mi Gente (feat. Beyoncé),J Balvin,1378843,https://open.spotify.com/track/7fwXWKdDNI5IutOMc5OKYw,2017-11-26
163,164,Die For You,The Weeknd,1378085,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3,2017-11-26
164,165,X (feat. Future),21 Savage,1370078,https://open.spotify.com/track/6fwdbPMwP1zVStm8FybmkO,2017-11-26
165,166,Don't,Bryson Tiller,1356353,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,2017-11-26
166,167,Closer,The Chainsmokers,1352055,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-11-26
167,168,Exchange,Bryson Tiller,1350096,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,2017-11-26
168,169,In Case You Didn't Know,Brett Young,1349955,https://open.spotify.com/track/10M2Ex445zw585Ducldzkw,2017-11-26
169,170,Broccoli (feat. Lil Yachty),DRAM,1348212,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,2017-11-26
170,171,Caroline,Aminé,1340184,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,2017-11-26
171,172,Something Just Like This,The Chainsmokers,1332071,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-11-26
172,173,Hallelujah,Pentatonix,1327700,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,2017-11-26
173,174,No Smoke,YoungBoy Never Broke Again,1325888,https://open.spotify.com/track/57IRaiAB4hBZu3gnNVZC0v,2017-11-26
174,175,Money Longer,Lil Uzi Vert,1325321,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ,2017-11-26
175,176,What They Want,Russ,1323723,https://open.spotify.com/track/3pndPhlQWjuSoXhcIIdBjv,2017-11-26
176,177,Fake Love,Drake,1321862,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,2017-11-26
177,178,Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,1321007,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7,2017-11-26
178,179,Happy Xmas (War Is Over) - Remastered,John Lennon,1320545,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy,2017-11-26
179,180,Greatest Love Story,LANCO,1317355,https://open.spotify.com/track/0kdiUZDcLIFw0Buo9r0Q4z,2017-11-26
180,181,Rudolph The Red-Nosed Reindeer,Burl Ives,1310517,https://open.spotify.com/track/4hXAK3mjFVFOOiJQ3rKAXi,2017-11-26
181,182,From The D To The A (feat. Lil Yachty),Tee Grizzley,1305971,https://open.spotify.com/track/2NyrXRn4tancYPW6JwtTl2,2017-11-26
182,183,Sensualidad,Bad Bunny,1299713,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw,2017-11-26
183,184,All Falls Down (feat. Juliander),Alan Walker,1296114,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb,2017-11-26
184,185,Love Scars,Trippie Redd,1285784,https://open.spotify.com/track/0AICBlLzFCTpUqmAbtzB2z,2017-11-26
185,186,Heartache On The Dance Floor,Jon Pardi,1278781,https://open.spotify.com/track/0w3Q14i073jLoew1hgJkwD,2017-11-26
186,187,Issues,Julia Michaels,1269707,https://open.spotify.com/track/6D0b04NJIKfEMg040WioJQ,2017-11-26
187,188,All Night,Steve Aoki,1261689,https://open.spotify.com/track/5mAxA6Q1SIym6dPNiFLUyd,2017-11-26
188,189,Portland,Drake,1260890,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h,2017-11-26
189,190,Stranger Things,Kygo,1260798,https://open.spotify.com/track/5gIRPQWULwrvIt0F6pY7ph,2017-11-26
190,191,Both (feat. Drake),Gucci Mane,1258381,https://open.spotify.com/track/5tFep7dXGd7vEJ668wTPux,2017-11-26
191,192,Bust Down,Trippie Redd,1256585,https://open.spotify.com/track/3vWxQ6wOfMr8zH1u7pVFI6,2017-11-26
192,193,Saved,Khalid,1255767,https://open.spotify.com/track/248OFOZef6ShXv6DGgbnxU,2017-11-26
193,194,Now Or Never,Halsey,1243257,https://open.spotify.com/track/7i2DJ88J7jQ8K7zqFX2fW8,2017-11-26
194,195,Questions,Chris Brown,1242728,https://open.spotify.com/track/3ojTJaonfkL96iIWa47SU3,2017-11-26
195,196,20 Min,Lil Uzi Vert,1241699,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng,2017-11-26
196,197,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1240347,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-11-26
197,198,Man's Not Hot,Big Shaq,1233057,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr,2017-11-26
198,199,Mayores,Becky G,1229374,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau,2017-11-26
199,200,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,1227623,https://open.spotify.com/track/0v9Wz8o0BT8DU38R4ddjeH,2017-11-26
0,1,rockstar,Post Malone,12623579,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,2017-12-03
1,2,Gucci Gang,Lil Pump,8681449,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,2017-12-03
2,3,I Fall Apart,Post Malone,7334983,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2017-12-03
3,4,Candy Paint,Post Malone,6958753,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf,2017-12-03
4,5,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,6885683,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI,2017-12-03
5,6,Ric Flair Drip (& Metro Boomin),Offset,6704101,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR,2017-12-03
6,7,No Limit,G-Eazy,6209107,https://open.spotify.com/track/2Xqd0wUttjueBfdcltADOv,2017-12-03
7,8,Havana,Camila Cabello,6066445,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb,2017-12-03
8,9,All I Want for Christmas Is You,Mariah Carey,5984865,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2017-12-03
9,10,Him & I,G-Eazy,5909702,https://open.spotify.com/track/3YU6vJbjYUG0tiJyXf9x5V,2017-12-03
10,11,Plain Jane,A$AP Ferg,5786787,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9,2017-12-03
11,12,Bank Account,21 Savage,5763001,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G,2017-12-03
12,13,Too Good At Goodbyes,Sam Smith,5745437,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2017-12-03
13,14,Let You Down,NF,5384553,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-03
14,15,Wolves,Selena Gomez,5345455,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2017-12-03
15,16,XO TOUR Llif3,Lil Uzi Vert,5240052,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,2017-12-03
16,17,PICK IT UP (feat. A$AP Rocky),Famous Dex,5081987,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd,2017-12-03
17,18,Young Dumb & Broke,Khalid,5006784,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2017-12-03
18,19,1-800-273-8255,Logic,4935241,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,2017-12-03
19,20,Perfect,Ed Sheeran,4909610,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2017-12-03
20,21,I Get The Bag (feat. Migos),Gucci Mane,4738800,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0,2017-12-03
21,22,MotorSport,Migos,4721271,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q,2017-12-03
22,23,Congratulations,Post Malone,4634063,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2017-12-03
23,24,What Lovers Do (feat. SZA),Maroon 5,4502480,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2017-12-03
24,25,Betrayed,Lil Xan,4492879,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG,2017-12-03
25,26,New Rules,Dua Lipa,4474952,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2017-12-03
26,27,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4334154,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2017-12-03
27,28,Silence,Marshmello,4221559,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU,2017-12-03
28,29,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4203112,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,2017-12-03
29,30,HUMBLE.,Kendrick Lamar,4062855,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-12-03
30,31,Bodak Yellow,Cardi B,4038226,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,2017-12-03
31,32,Bad At Love,Halsey,4037943,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,2017-12-03
32,33,Ghostface Killers,21 Savage,3944194,https://open.spotify.com/track/5u6vkDnOyaf8LsteDAj2ub,2017-12-03
33,34,Roll In Peace (feat. XXXTENTACION),Kodak Black,3815852,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI,2017-12-03
34,35,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3776506,https://open.spotify.com/track/3T7dNA7O8c3Axj5WyDNcH3,2017-12-03
35,36,BUTTERFLY EFFECT,Travis Scott,3776487,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX,2017-12-03
36,37,Codeine Dreaming (feat. Lil Wayne),Kodak Black,3709387,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J,2017-12-03
37,38,LOVE. FEAT. ZACARI.,Kendrick Lamar,3632643,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As,2017-12-03
38,39,goosebumps,Travis Scott,3618964,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2017-12-03
39,40,Jocelyn Flores,XXXTENTACION,3548369,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2017-12-03
40,41,Wanted You (feat. Lil Uzi Vert),NAV,3521339,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1,2017-12-03
41,42,Sorry Not Sorry,Demi Lovato,3504799,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P,2017-12-03
42,43,Unforgettable,French Montana,3441027,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,2017-12-03
43,44,Location,Khalid,3412330,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif,2017-12-03
44,45,Fuck Love (feat. Trippie Redd),XXXTENTACION,3402876,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,2017-12-03
45,46,Thunder,Imagine Dragons,3373818,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2017-12-03
46,47,Sky Walker (feat. Travis Scott),Miguel,3348975,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf,2017-12-03
47,48,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,3340056,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,2017-12-03
48,49,Last Christmas,Wham!,3157842,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2017-12-03
49,50,Slippery (feat. Gucci Mane),Migos,3090988,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE,2017-12-03
50,51,Rubbin Off The Paint,YBN Nahmir,3034185,https://open.spotify.com/track/0taOCiup4HNG9LmbduVlJj,2017-12-03
51,52,GUMMO,6ix9ine,3020079,https://open.spotify.com/track/2vjmyyAnDUzilFYxOlTdO1,2017-12-03
52,53,How Long,Charlie Puth,2992350,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,2017-12-03
53,54,Jingle Bell Rock,Anita Kerr Singers,2978641,https://open.spotify.com/track/4IdXngKo4g5exqZ0fQTecu,2017-12-03
54,55,It's the Most Wonderful Time of the Year,Andy Williams,2961201,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN,2017-12-03
55,56,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,2913978,https://open.spotify.com/track/1f5cbQtDrykjarZVrShaDI,2017-12-03
56,57,I Miss You (feat. Julia Michaels),Clean Bandit,2865835,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,2017-12-03
57,58,Échame La Culpa,Luis Fonsi,2762349,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,2017-12-03
58,59,Look What You Made Me Do,Taylor Swift,2760091,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il,2017-12-03
59,60,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,2706078,https://open.spotify.com/track/0OI7AFifLSoGzpb8bdBLLV,2017-12-03
60,61,...Ready For It?,Taylor Swift,2704347,https://open.spotify.com/track/2yLa0QULdQr0qAIvVwN6B5,2017-12-03
61,62,A Holly Jolly Christmas - Single Version,Burl Ives,2697971,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2017-12-03
